SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
040,4,8,16,000,Idaho,Idaho,1839140,1849415,1904848,1944299,1971122,2001619,10275,55433,39451,26823,30497,5467,21850,22384,22334,22830,3623,17115,18941,16798,16635,1844,4735,3443,5536,6195,58,698,6955,6419,7899,8891,51978,28368,14730,16383,8949,52676,35323,21149,24282,-518,-1978,685,138,20,49732,49641,50054,50094,50214,50239,11.640100867,11.630628812,11.408224045,11.493324131,9.1176350724,9.8416610226,8.5804310699,8.374570605,2.5224657942,1.7889677895,2.8277929755,3.1187535256,0.3718439545,3.6137876782,3.2788300415,3.9765995317,27.690121869,14.739889123,7.5240951101,8.2477060548,28.061965824,18.353676802,10.802925152,12.224305586
050,4,8,16,001,Idaho,Ada County,494969,498301,513098,520788,526690,535799,3332,14797,7690,5902,9109,1231,4983,5002,4978,5136,872,3961,4273,3819,3679,359,1022,729,1159,1457,16,175,2124,1917,2352,3167,14138,4847,2847,5240,3183,14313,6971,4764,7592,-210,-538,-10,-21,60,13490,13454,13508,13653,13734,13752,9.8536779253,9.6761151616,9.5047342283,9.6678647967,7.832714883,8.2659016565,7.2917999232,6.9252481673,2.0209630423,1.4102135052,2.2129343051,2.7426166294,0.3460553155,4.1087702126,3.6602200714,4.4273399536,27.957314571,9.3762755275,5.4359136898,9.8636315294,28.303369887,13.48504574,9.0961337613,14.290971483
050,4,8,16,003,Idaho,Adams County,4379,4425,4621,4780,4898,4998,46,196,159,118,100,13,31,27,35,35,14,48,62,59,59,-1,-17,-35,-24,-24,0,2,1,7,8,54,225,182,133,116,54,227,183,140,124,-7,-14,11,2,0,29,29,29,29,29,29,6.8538580588,5.7440697798,7.2328993594,7.0735650768,10.612425381,13.190086161,12.192601777,11.924009701,-3.758567323,-7.446016381,-4.959702418,-4.850444624,0.4421843909,0.2127433252,1.4465798719,1.6168148747,49.745743975,38.719285182,27.485017566,23.443815683,50.187928366,38.932028508,28.931597437,25.060630558
050,4,8,16,005,Idaho,Bannock County,87023,87281,88523,89871,90585,91010,258,1242,1348,714,425,282,1077,1051,1022,1041,195,890,964,873,884,87,187,87,149,157,1,31,321,221,275,149,1014,943,356,-11,150,1045,1264,577,264,21,10,-3,-12,4,2257,2255,2369,2324,2339,2339,12.252280949,11.782907497,11.326860841,11.465073378,10.124911834,10.80753837,9.6754887618,9.7359508797,2.1273691156,0.9753691268,1.6513720796,1.7291224979,0.3526654684,3.5987757436,2.4493505342,3.028717751,11.535573707,10.572104443,3.9455601365,-0.12114871,11.888239175,14.170880187,6.3949106707,2.907569041
050,4,8,16,007,Idaho,Bear Lake County,6370,6367,6569,6751,6783,6779,-3,202,182,32,-4,23,85,82,78,77,27,69,78,60,53,-4,16,4,18,24,0,2,23,8,10,0,192,148,8,-39,0,194,171,16,-29,1,-8,7,-2,1,60,60,60,60,60,60,13.141620284,12.312312312,11.526525787,11.355257337,10.667903525,11.711711712,8.8665582976,7.8159563486,2.4737167594,0.6006006006,2.6599674893,3.5393009881,0.3092145949,3.4534534535,1.182207773,1.474708745,29.684601113,22.222222222,1.182207773,-5.751364106,29.993815708,25.675675676,2.364415546,-4.276655361
050,4,8,16,009,Idaho,Benewah County,9532,9579,9900,10301,10400,10529,47,321,401,99,129,25,86,101,118,120,22,150,161,142,122,3,-64,-60,-24,-2,0,0,3,0,0,48,404,439,122,132,48,404,442,122,132,-4,-19,19,1,-1,66,66,66,66,66,66,8.8300220751,9.999504975,11.400415439,11.467341966,15.401201294,15.93980496,13.719144003,11.658464332,-6.571179219,-5.940299985,-2.318728564,-0.191122366,0,0.2970149993,0,0,41.480568818,43.463194891,11.7868702,12.614076162,41.480568818,43.760209891,11.7868702,12.614076162
050,4,8,16,011,Idaho,Bingham County,47983,48099,48938,49997,50398,50889,116,839,1059,401,491,152,669,653,641,660,107,481,498,470,503,45,188,155,171,157,1,9,19,24,30,56,638,864,212,308,57,647,883,236,338,14,4,21,-6,-4,506,506,506,506,506,506,13.788554881,13.200586243,12.769560237,13.032274626,9.9137442419,10.067215849,9.3630160865,9.9321729343,3.8748106392,3.1333703947,3.4065441506,3.1001016912,0.185496254,0.3840905645,0.4781114597,0.5923761193,13.14962334,17.466013039,4.2233178943,6.0817281586,13.335119594,17.850103603,4.7014293541,6.6741042779
050,4,8,16,013,Idaho,Blaine County,24274,24345,24784,25186,25180,25261,71,439,402,-6,81,38,182,206,191,193,44,146,146,145,143,-6,36,60,46,50,6,46,382,133,167,73,361,-24,-182,-138,79,407,358,-49,29,-2,-4,-16,-3,2,380,380,380,380,380,380,7.4090659285,8.2449469682,7.5844815947,7.6525049067,5.9435364042,5.8435061037,5.7578525196,5.6699906822,1.4655295243,2.4014408645,1.8266290752,1.9825142245,1.8726210588,15.289173504,5.2813405869,6.62159751,14.696004397,-0.960576346,-7.227097645,-5.47173926,16.568625455,14.328597158,-1.945757058,1.1498582502
050,4,8,16,015,Idaho,Boise County,7613,7663,8133,8426,8560,8581,50,470,293,134,21,12,58,60,69,72,7,89,84,71,77,5,-31,-24,-2,-5,1,11,91,31,38,51,519,212,103,-13,52,530,303,134,25,-7,-29,14,2,1,18,18,18,18,18,18,7.3436312991,7.2468144212,8.1243376899,8.4009100986,11.268675614,10.14554019,8.3598257388,8.9843066332,-3.925044315,-2.898725768,-0.235488049,-0.583396535,1.3927576602,10.991001872,3.6500647592,4.4338136631,65.712838693,25.605410955,12.127634523,-1.51683099,67.105596354,36.596412827,15.777699282,2.9169826731
050,4,8,16,017,Idaho,Bonner County,47109,47411,49649,51521,52709,53955,302,2238,1872,1188,1246,97,435,468,461,464,97,505,665,539,550,0,-70,-197,-78,-86,0,11,157,141,173,335,2427,1808,1108,1170,335,2438,1965,1249,1343,-33,-130,104,17,-11,519,519,518,519,520,521,8.9635277148,9.2517544727,8.8458217404,8.7002175054,10.405934474,13.146189582,10.342511753,10.312757819,-1.442406759,-3.894435109,-1.496690012,-1.612540314,0.2266639192,3.1036868637,2.7055550225,3.2438310958,50.010302905,35.741820698,21.260673511,21.938048451,50.236966825,38.845507562,23.966228533,25.181879547
